Nr,Opcja,Poprawna
23,Związkowi wieloznacznemu odpowiada w relacyjnej bazie danych: - (0)
,klucz obcy,
,tabela,+
,kolumna w tabeli,
,wiersz w tabeli,
24,Atrybutowi w relacyjnej bazie danych odpowiada: - (0)
,kolumna w tabeli,+
,wiersz w tabeli,
,tabela,
,indeks w tabeli,
25,Jednoznacznemu identyfikatorowi odpowiada w relacyjnej bazie danych: - (0)
,kolumna w tabeli,
,indeks w tabeli,
,klucz obcy,
,klucz główny,+
26,Spójność referencyjna dotyczy faktu: - (0)
,wartością klucza obcego może być null lub wartość odpowiadającego mu klucza głównego,+
,wartości w kolumnie nie powtarzają się,
,wartości w kolumnie nie mogą zależeć ani od części klucza ani nawet przechodnio od klucza,
,w każdej tabeli powinien istnieć dokładnie jeden klucz,
27,III postać normalna dotyczy faktu: - (0)
,wartością klucza obcego może być null lub wartość odpowiadającego mu klucza głównego,
,wartości w kolumnie nie powtarzają się,
,wartości w kolumnie niekluczowej nie mogą zależeć ani od części klucza ani nawet przechodnio od klucza,+
,w każdej tabeli powinien istnieć dokładnie jeden klucz,
28,Które ze sformułowań są prawdziwe w modelu relacyjnym: - (0)
,wartości w kolumnie są przechowywane w kolejności posortowanej,
,wiersze nie powtarzają się,+
,kolejność kolumn jest nieistotna,+
,wartości w kolumnie nie powtarzają się,
29,Które ze sformułowań są prawdziwe w modelu relacyjnym: - (0)
,wiersze nie mają tożsamości obiektowej,+
,związek jednoznaczny reprezentuje się przy pomocy klucza obcego,+
,związek wieloznaczny reprezentuje się przy pomocy klucza obcego,
,klucze obce muszą być typu całkowitego,
30,Które ze sformułowań są prawdziwe w modelu relacyjnym: - (7)
,tabela jest konkretną reprezentacją relacji,+
,dla klucza jednoznacznego jest automatycznie zakładany indeks,+
,dla klucza obcego jest automatycznie zakładany indeks,
,dla klucza głównego jest automatycznie zakładany indeks jednoznaczny,+
31,Które ze sformułowań są prawdziwe w modelu relacyjnym: - (4)
,klucz obcy nie może być częścią klucza główego,
,klucz główny nie może być częścią klucza obcego,+
,wartości klucza głównego nie mogą się powtarzać,+
,wartości klucza obcego nie mogą się powtarzać,
32,Zależność złączeniowa jest uogólnieniem zależności wielowartościowej w następującym sensie: - (0)
,"dotyczy rozbicia tabeli na dokładnie dwie tabele,",
,"dotyczy rozbicia tabeli na dokładnie trzy tabele,",
,"dotyczy rozbicia tabeli na więcej niż dwie tabele,",+
,"dotyczy rozbicia tabeli na co najmniej dwie tabele,",
33,Postać normalna Boyce'a-Codda dotyczy faktu: - (1)
,wartością klucza obcego może być null lub wartość odpowiadającego mu klucza głównego,
,"każda nietrywialna zależność funkcyjna jest zależnością od nadklucza,",+
,wartości w kolumnie niekluczowej nie mogą zależeć ani od części klucza ani nawet przechodnio od klucza,
,w każdej tabeli powinien istnieć dokładnie jeden klucz,
34,Które z poniższych stwierdzeń są prawdziwe: - (0)
,"jedyną poprawną, nietrywialną zależnością funkcyjną jest zależność do klucza,",+
,"należy starać się użyć najmniejszej możliwej liczby tabel,",
,"w tabeli nie powinno być żadnych niekontrolowanych redundancji,",+
,należy wszystkie związki jednoznaczne zastąpić związkami jednojednoznacznymi.,
35,Które z poniższych stwierdzeń są prawdziwe: - (0)
,"każdy fakt przechowywany w bazie danych powinien być w niej wyrażany tylko na jeden sposób,",+
,"należy starać się użyć najmniejszej możliwej liczby tabel,",
,"należy skonsultować z użytkownikiem poprawność skonstruowanego modelu danych,",+
,należy spytać się użytkownika czy schemat tabel jest w III postaci normalnej.,
36,"Dany jest schemat relacyjny R={Miasto, Ulica, Kod}, F = {Miasto,Ulica->Kod; Kod->Miasto}. W której postaci normalnej jest ten schemat: - (6)"
,I postać normalna;,+
,"II postać normalna,",+
,"III postać normalna,",+
,postać normalna Boyce'a-Codda.,
37,"Dany jest schemat relacyjny R={Miasto, Ulica, Kod, Poczta}, F = {Miasto,Ulica->Kod; Kod->Miasto; Kod->Poczta}. W której postaci normalnej jest ten schemat: - (4)"
,I postać normalna;,+
,"II postać normalna,",+
,"III postać normalna,",
,postać normalna Boyce'a-Codda.,
38,"Dany jest schemat relacyjny R={Miasto, Ulica, Kod, Poczta}, F = {Miasto,Ulica->Kod; Kod->Poczta}. W której postaci normalnej jest ten schemat: - (6)"
,I postać normalna;,+
,"II postać normalna,",+
,"III postać normalna,",
,postać normalna Boyce'a-Codda.,
39,"Dany jest schemat relacyjny R={Miasto, Ulica, Kod}, F = {Miasto,Ulica->Kod}. W której postaci normalnej jest ten schemat: - (2)"
,I postać normalna;,+
,"II postać normalna,",+
,"III postać normalna,",+
,postać normalna Boyce'a-Codda.,+
40,"Dany jest schemat relacyjny R={Ulica, Kod, Sklep}, F = {Ulica->Kod; Sklep->Ulica}. W której postaci normalnej jest ten schemat: - (0)"
,I postać normalna;,+
,"II postać normalna,",+
,"III postać normalna,",
,postać normalna Boyce'a-Codda.,
41,"Dany jest schemat relacyjny R={Ulica, Kod, Sklep}, F = {Ulica->Kod; Ulica, Numer ->Sklep}. W której postaci normalnej jest ten schemat: - (3)"
,I postać normalna;,+
,"II postać normalna,",
,"III postać normalna,",
,postać normalna Boyce'a-Codda.,
42,"Dany jest schemat relacyjny R={Student,Adres,Akademik}, F = {Student->Adres; Akademik->Adres; Student->Akademik}. W której postaci normalnej jest ten schemat: - (0)"
,I postać normalna;,+
,"II postać normalna,",+
,"III postać normalna,",
,postać normalna Boyce'a-Codda.,
43,"Dany jest schemat relacyjny R={Student,Uczelnia,Adres,Klub}, F = {Student->Uczelnia; Klub->Adres}. W której postaci normalnej jest ten schemat: - (1)"
,I postać normalna;,+
,"II postać normalna,",
,"III postać normalna,",
,postać normalna Boyce'a-Codda.,
44,"Dany jest schemat relacyjny R={Student,Uczelnia,Adres,Klub}, F = {Student->Uczelnia; Klub->Adres;Uczelnia->Adres}. W której postaci normalnej jest ten schemat: - (0)"
,I postać normalna;,+
,"II postać normalna,",
,"III postać normalna,",
,postać normalna Boyce'a-Codda.,
45,"Dany jest schemat relacyjny R={Student,Uczelnia,Adres,Akademik}, F = {Student, Uczelnia->Klub; Klub->Adres}. W której postaci normalnej jest ten schemat: - (2)"
,I postać normalna;,+
,"II postać normalna,",+
,"III postać normalna,",
,postać normalna Boyce'a-Codda.,
46,Studenci mają pomysły. Każdy pomysł dotyczy pewnej rzeczy. Każdy pomysł przychodzi do głowy dokładnie jednemu studentowi. Student może się podzielić pomysłem z kolegami-studentami. Który ze schematów jest najodpowiedniejszy z punktu widzenia zasad projektowania baz danych: - (0)
,"Studenci(id_studenta, imię, nazwisko, adres, id_pomysłu)
Pomysły(id_pomysłu, rzecz, opis)
Koledzy(id_kolegi, imię, nazwisko, id_studenta, id_pomysłu)",
,"Studenci(id_studenta, imię, nazwisko, adres, id_kolegi)
Pomysły(id_pomysłu, rzecz, opis, id_studenta)
Koledzy(id_kolegi, imię, nazwisko, id_studenta, id_pomysłu)",
,"Studenci(id_studenta, imię, nazwisko, adres)
Pomysły(id_pomysłu, rzecz, opis, id_studenta)
Koledzy(id_pomysłu, id_kolegi)",+
,"Studenci(id_studenta, imię, nazwisko, adres)
Pomysły(id_pomysłu, rzecz, opis, id_studenta, id_kolegi)",
47,"Studenci lubią się, są sobie obojętni lub nie znoszą się (nie ma innej możliwości). Który ze schematów jest najodpowiedniejszy z punktu widzenia zasad projektowania baz danych : - (2)"
,"Studenci(id_studenta, imię, nazwisko)
Koledzy(id_kolegi, imię, nazwisko, id_studenta, id_stosunku_do)
Stosunek(id_stosunku_do, stosunek_do)",
,"Studenci(id_studenta, imię, nazwisko)
Koledzy(id_kolegi, imię, nazwisko, id_studenta, stosunek_do)",
,"Studenci(id_studenta, imię, nazwisko)
Lubi(id_studenta, id_kolegi)
Nie_znosi(id_studenta, id_kolegi)
Obojętny(id_studenta, id_kolegi)",
,"Studenci(id_studenta, imię, nazwisko)
Lubi(id_studenta, id_kolegi)
Nie_znosi(id_studenta, id_kolegi)",+
48,W domach mieszkają zwierzęta domowe. Niektóre zwierzęta zjadają się wzajemnie. Domy mogą być położone obok siebie. Jaki schemat zgodny z zasadami projektowania schematów baz danych jest najodpowiedniejszy dla organizacji zajmującej się ochroną zwierząt: - (0)
,"Domy(id_domu, adres, id_zwierzę)
Zwierzęta(id_zwierzę, rodzaj, id_zw_zjadane)",
,"Domy(id_domu, adres) 
Zwierzęta(id_zwierzę, id_rodzaju, id_domu) 
Rodzaje(id_rodzaju, rodzaj)
Obok_siebie(id_domu1, id_domu2) 
Zjada(id_rodz_je, id_rodz_zjadane)",+
,"Domy(id_domu, adres)
Zwierzęta(id_zwierzę, id_rodzaju, id_domu) 
Rodzaje(id_rodzaju, rodzaj)
Sąsiedzi(id_zwierzę1, id_zwierzę2)
Zjada(id_rodz_je, id_rodz_zjadane)",
,"Domy(id_domu, adres, id_zwierzę, rodzaj)
Obok_siebie(id_domu1, id_domu2)
Zjada(id_zw_je, id_zw_zjadane)",
49,W filmach grają aktorzy. Każdy film ma dokładnie jednego reżysera i jednego lub więcej scenarzystę. Który z poniższych schematów jest najodpowiedniejszy z punktu widzenia zasad projektowania baz danych: - (5)
,"Filmy(id_filmu, tytuł, reżyser, gaża_reżysera)
Aktorzy(id_aktora, nazwisko,rola, id_filmu, gaża)
Scenarzyści(id_scenarzysty, nazwisko, id_filmu, gaża)",+
,"Filmy(id_filmu, tytuł, id_reżysera, gaża_reżysera)
Osoby(id_osoby, nazwisko)
Aktorzy(id_aktora, id_filmu, rola, gaża)
Scenarzyści(id_scenarzysty, id_filmu, gaża)",
,"Filmy(id_filmu, tytuł, id_reżysera)
Osoby(id_osoby, nazwisko)
Zespół(id_osoby, id_filmu, rola, gaża)",
,"Zespół(tytuł_filmu, nazwisko_osoby, rola, gaża)",
50,"Politycy należą do partii politycznych (czasami je zmieniają, czasami dokonują ich podziału). Partie polityczne, przed wyborami, tworzą koalicje wyborcze. Który z poniższych schematów jest najodpowiedniejszy z punktu widzenia zasad projektowania baz danych: - (0)"
,"Politycy(id_polityka, imię, nazwisko)
Partie(id_partii, nazwa, od, do)
Koalicje(id_koalicji, data_wyborów)
Członkowie(id_partii, id_osoby, od, do)
W_koalicji(id_partii, id_koalicji, od, do)",+
,"Osoby(id_osoby, imię, nazwisko, id_partii)
Partie(id_partii, nazwa, id_koalicji)
Politycy(id_osoby, id_partii, od, do)
Koalicje(id_koalicji, data_wyborów)",
,"Partie(id_partii, nazwa, koalicja, polityk, od, do)",
,"Politycy(id_polityka, imię, nazwisko, id_partii, od, do)
Partie(id_partii, nazwa, od, do)
Koalicje(id_koalicji, data_wyborów)
W_koalicji(id_partii, id_koalicji, od, do)",
51,"Studenci planują, czym chcieliby się zajmować w swojej przyszłej pracy zawodowej i jakie stanowiska chcieliby pełnić. Który z poniższych schematów jest najodpowiedniejszy z punktu widzenia zasad projektowania baz danych: - (1)"
,"Studenci(id_studenta, imię, nazwisko)
Zajęcia(id_zajęcia, nazwa)
Stanowiska(id_stanowiska, nazwa)
Kto_co(id_studenta, id_stanowiska, id_zajęcia)",
,"Studenci(id_studenta, imię, nazwisko, rok)
Zajęcia(id_zajęcia, nazwa)
Stanowiska(id_stanowiska, nazwa)
Jakie_zajęcie(id_studenta, id_zajęcia)
Jakie_stanowisko(id_studenta, id_stanowiska)",+
,"Studenci(imię, nazwisko, rok, zajęcie, stanowisko)",
,"Studenci(id_studenta, imię, nazwisko,rok)
Kto_co(id_studenta, stanowisko, zajęcie)",
52,"W PJWSTK ma powstać baza danych zbierająca informacje o umiejętnościach przydatnych w pracy zawodowej, o przedmiotach, które uczą tych umiejętności oraz o książkach, w których umiejętności są opisane. Który z poniższych schematów jest najodpowiedniejszy z punktu widzenia zasad projektowania baz danych: - (2)"
,"Umiejętności(umiejętność, przedmiot, książka)",
,"Przedmioty(id_przedmiotu, nazwa, semestr)
Książki(ISBN, tytuł, autorzy)
Umiejętności(id_umiejętności, id_przedmiotu, nazwa, opis, ISBN, od_strony, do_strony)",
,"Przedmioty(id_przedmiotu, nazwa, semestr)
Książki(ISBN, tytuł, sygnatura)
Umiejętności(id_umiejętności, nazwa, opis)
Gdzie(id_umiejętności, ISBN, od_strony, do_strony)
Na(id_umiejętności, id_przedmiotu)",+
,"Przedmioty(id_przedmiotu, nazwa, semestr)
Egzemplarze_książek(sygnatura, tytuł, autorzy, nr_półki)
Umiejętności(id_umiejętności, nazwa, opis)
Gdzie(id_umiejętności, sygnatura, od_strony, do_strony)",
53,"W PJWSTK powstaje baza danych z informacjami, jakie oprogramowanie jest zainstalowane w poszczególnych salach - z myślą o prowadzeniu w nich ćwiczeń z odpowiednich przedmiotów. Który z poniższych schematów jest najodpowiedniejszy z punktu widzenia zasad projektowania baz danych: - (5)"
,"Sale(numer_sali, nazwa_programu, wersja, ile_instalacji)
Programy(nazwa_programu, wersja, nazwa_przedmiotu)",
,"Programy(id_programu, firma, nazwa, wersja)
Przedmioty(id_przedmiotu, nazwa)
Sale_programy(nr_sali, id_programu, ile_instalacji)
Przedmioty_programy(id_przedmiotu, id_programu)",+
,"Programy(id_programu, firma, nazwa, wersja, nazwa_przedmiotu)
Sale_programy(nr_sali, id_programu, wersja, ile_instalacji)",
,"Sale(id_sali, numer, ile_komputerów)
Programy(id_programu, firma, nazwa, wersja)
Przedmioty(id_przedmiotu, nazwa)
Sale_programy(id_sali, id_programu, wersja, ile_instalacji)
Przedmioty_programy(id_przedmiotu, id_programu, wersja)",
54,"Który ze schematów bazy danych dla biblioteki jest najodpowiedniejszy z punktu widzenia zasad projektowania baz danych. Baza powinna przechowywać informacje o klientach, książkach i wypożyczeniach (wielkie litery oznaczają klucz główny): - (15)"
,"Klient(ID_KLIENTA, imię, nazwisko, adres)
Książka(ID_KSIąŻKI, tytuł, autor)
Wypożyczenie(ID_KLIENTA, id_książki, data_wypożyczenia, data_zwrotu)",
,"Klient(ID_KLIENTA, imię, nazwisko, adres)
Książka(ID_KSIąŻKI, tytuł, autor)
Wypożyczenie(ID_KLIENTA, ID_KSIąŻKI, data_wypożyczenia, data_zwrotu)",
,"Klient(ID_KLIENTA, imię, nazwisko, adres)
Książka(ID_KSIąŻKI, tytuł, autor)
Wypożyczenie(ID_KLIENTA, ID_KSIąŻKI, DATA_WYPOŻYCZENIA, data_zwrotu)",+
,"Klient(ID_KLIENTA, imię, nazwisko, adres)
Książka(ID_KSIąŻKI, tytuł, autor)
Wypożyczenie(ID_KLIENTA, ID_KSIąŻKI, DATA_WYPOŻYCZENIA, DATA_ZWROTU)",
55,Potrzebna jest baza danych do ewidencji studentów i ich ocen. Który ze schematów bazy danych jest najodpowiedniejszy z punktu widzenia zasad projektowania baz danych: - (3)
,"Student(id_studenta, imię, nazwisko)
Ocena(id_oceny, ocena, data_wystawienia, nazwa_przedmiotu)",
,"Student(id_studenta, imię, nazwisko)
Ocena(id_oceny, ocena, data_wystawienia, id_przedmiotu, id_studenta)
Przedmiot(id_przedmiotu, nazwa)",+
,"Student(id_studenta, imię, nazwisko, id_oceny)
Ocena(id_oceny, ocena, data_wystawienia, id_przedmiotu)
Przedmiot(id_przedmiotu, nazwa)",
,"Student(id_studenta, imię, nazwisko, ocena)
Przedmiot(id_przedmiotu, nazwa, id_studenta)",
56,"Wiedząc, że tabela TEST ma następującą strukturę: 

 id number(5)
 pole1 varchar2(30)
 pole2 varchar2(30)

Zaznacz, które z poniższych wyrażeń są poprawnymi składniowo instrukcjami języka SQL: - (3)"
,"INSERT INTO TEST(ID,POLE1,POLE2) SELECT EMPNO,ENAME,JOB FROM EMP;",+
,"INSERT INTO TEST(ID,POLE1,POLE2) VALUES(SELECT EMPNO,ENAME,JOB FROM EMP);",
,"INSERT INTO TEST VALUES(12345, 'KOWALSKI');",
57,Chcesz usunąć z bazy wyzwalacz TRG_TEST. Które polecenie zastosujesz? - (0)
,DELETE FROM USER_TRIGGERS WHERE TRIGGER_NAME = 'TRG_TEST';,
,DELETE TRIGGER TRG_TEST;,
,REMOVE TRIGGER TRG_TEST;,
,DROP TRIGGER TRG_TEST;,+
58,"Dana jest tabela Osoby(Imie, Nazwisko, Zarobki). Które z następujących instrukcji są składniowo poprawnymi instrukcjami SQL w Oracle: - (13)"
,UPDATE Osoby WHERE Nazwisko='KOWALSKI';,
,UPDATE Osoby SET Nazwisko=USER;,+
,"SELECT Osoby.Nazwisko, Osoby.Imie, Osoby.Zarobki WHERE Osoby.Zarobki >1000;",
,"SELECT Osoby.Nazwisko, Osoby.Imie, Osoby.Zarobki ORDER BY Osoby.Zarobki;",
,"SELECT Osoby.Nazwisko, Osoby.Imie, Osoby.Zarobki HAVING Osoby.Zarobki>1000;",
,"SELECT Osoby.Nazwisko, Osoby.Imie, Osoby.Zarobki FROM Osoby HAVING Osoby.Zarobki>1000;",
,"SELECT Osoby.Nazwisko, Osoby.Imie, Osoby.Zarobki FROM Osoby GROUP BY Osoby.Nazwisko;",
,"INSERT INTO Osoby VALUES ('Jan', 'Kowalski', 2000) WHERE USER = 'KOWALSKI';",
,INSERT INTO Osoby SELECT * FROM Osoby WHERE USER = 'KOWALSKI';,+
,INSERT INTO Osoby SELECT * FROM Osoby WHERE Nazwisko = 'KOWALSKI';,+
,"INSERT INTO Osoby SELECT Nazwisko, Imie FROM Osoby WHERE USER = 'KOWALSKI';",
,DELETE FROM Osoby WHERE USER='KOWALSKI';,+
,DELETE FROM Osoby WHERE 'JANKOWSKI'='KOWALSKI';,+
,DELETE FROM Osoby WHENEVER Osoby.Zarobki<1000;,
,"SELECT Osoby.Nazwisko, Osoby.Imie, Osoby.Zarobki FROM Osoby WHERE Osoby.Zarobki >1000",+
59,"Dane są dwie tabele Osoby(Imie, Nazwisko, Zarobki, Id_działu) oraz Działy(Id_działu, Nazwa). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle: - (1)"
,"SELECT Osoby.Nazwisko, Osoby.Imie, Osoby.Id_działu WHERE Działy.Nazwa='PRAWNY';",
,"INSERT INTO Osoby(Imie, Nazwisko,Zarobki) VALUES ('Jan', 'Kowalski', 2000);",+
,DELETE FROM Osoby WHERE Id_działu=(SELECT Id_działu FROM Działy WHERE Nazwa='BUFET');,+
,UPDATE Osoby DELETE Nazwisko=USER;,
60,"Dane są dwie tabele Osoby(Imie, Nazwisko, Zarobki, Id_działu) oraz Działy(Id_działu, Nazwa). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle: - (10)"
,"SELECT Osoby.Nazwisko, Działy.Nazwa FROM Osoby, Działy WHERE Osoby.Id_działu=Działy.Id_działu GROUP BY Osoby.Nazwisko;",
,"INSERT INTO Osoby VALUES ('Jan', 'Kowalski', 2000) WHERE Osoby.Id_działu = 23;",
,"DELETE FROM Osoby, Działy WHERE Osoby.Nazwisko='KOWALSKI' AND Działy.Nazwa='KASA';",
,UPDATE Osoby SET Id_działu=NULL;,+
61,"Dane są dwie tabele Osoby(Imie, Nazwisko, Zarobki, Id_działu) oraz Działy(Id_działu, Nazwa). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle: - (3)"
,"SELECT Osoby.Nazwisko, COUNT(Działy.Nazwa) FROM Osoby, Działy WHERE Osoby.Id_działu=Działy.Id_działu GROUP BY Osoby.Nazwisko;",+
,"INSERT INTO Osoby VALUES ('Jan', 'Kowalski', 2000) WHERE Osoby.Id_działu = 23;",
,"DELETE FROM Osoby, Działy WHERE Osoby.Nazwisko='KOWALSKI' AND Działy.Nazwa='KASA' AND Osoby.Id_działu=Działy.Id_działu;",
,UPDATE Osoby SET Id_działu=NULL WHERE COUNT(*)<5;,
62,"Dane są dwie tabele Osoby(Imie, Nazwisko, Zarobki, Id_działu) oraz Działy(Id_działu, Nazwa). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle: - (2)"
,"SELECT Osoby.Nazwisko, COUNT(Działy.Nazwa) FROM Osoby, Działy WHERE Osoby.Id_działu=Działy.Id_działu GROUP BY Osoby.Nazwisko HAVING COUNT(Id_działu)<2;",
,"INSERT INTO Osoby VALUES ('Jan', 'Kowalski', 2000) WHERE Osoby.Id_działu = 23;",
,"DELETE FROM Osoby, Działy WHERE Osoby.Nazwisko='KOWALSKI' AND Działy.Nazwa='KASA' AND Osoby.Id_działu=Działy.Id_działu;",
,UPDATE Osoby SET Id_działu=NULL WHERE 5>(SELECT COUNT(*) FROM Działy);,+
63,"Dane są dwie tabele Osoby(Imie, Nazwisko, Zarobki, Id_działu) oraz Działy(Id_działu, Nazwa). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle: - (2)"
,"SELECT Osoby.Nazwisko, Działy.Nazwa FROM Osoby, Działy WHERE Osoby.Id_działu=Działy.Id_działu GROUP BY Osoby.Nazwisko HAVING COUNT(Działy.Id_działu)<2;",
,"INSERT INTO Osoby VALUES ('Jan', 'Kowalski', 2000);",
,DELETE FROM Osoby WHERE Osoby.Nazwisko='KOWALSKI' AND Działy.Id_działu=22;,
,UPDATE Osoby SET Id_działu=NULL WHERE 5>(SELECT COUNT(*) FROM Działy);,+
64,"Dana jest tabela Osoby(imie, nazwisko, zarobki). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle: - (0)"
,"SELECT imie, nazwisko, zarobki FROM osoby UNION SELECT imie, nazwisko FROM osoby;",
,SELECT AVG(zarobki) FROM osoby;,+
,"SELECT imie, nazwisko FROM osoby WHERE zarobki = MAX(zarobki);",
,"SELECT imie, nazwisko FROM osoby HAVING zarobki = MAX(zarobki);",
65,"Dana jest tabela Osoby(imie, nazwisko, zarobki, id_dzialu). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle: - (2)"
,"SELECT imie, nazwisko, AVG(zarobki) FROM Osoby GROUP BY id_dzialu;",
,"SELECT id_dzialu, AVG(zarobki) FROM Osoby GROUP BY id_dzialu;",+
,"SELECT id_dzialu, AVG(zarobki) FROM Osoby GROUP BY id_dzialu WHERE AVG(zarobki) > 1000;",
,SELECT AVG(zarobki) from Osoby WHERE zarobki > 1000;,+
66,"Dana jest tabela Osoby(imie, nazwisko, zarobki). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle: - (0)"
,"INSERT INTO Osoby (imie, nazwisko, zarobki) VALUES ('Jan', 'Kowalski', 1000);",+
,"INSERT INTO Osoby VALUES ('Jan', 'Kowalski');",
,DELETE FROM Osoby WHERE Nazwisko LIKE 'Kowalski';,+
,UPDATE Osoby.Nazwisko = 'Kowalski';,
67,Wskazać poprawne zapytanie SQL znajdujące pracowników zarabiających minimalną pensję na ich stanowiskach pracy. - (6)
,"SELECT ename, job, sal FROM emp e WHERE sal = (SELECT MIN(sal)FROM emp WHERE job = e.job);",+
,"SELECT ename, job, sal FROM emp WHERE( sal,job) in (SELECT MIN(sal),job FROM emp GROUP BY job );",+
,"SELECT ename, job, sal FROM emp WHERE sal = (SELECT MIN(sal)FROM emp GROUP BY job );",
,"SELECT ename, job, MIN(sal) FROM emp GROUP BY job;",
,,
68,Wskazać poprawne zapytanie SQL znajdujące dla każdego departamentu ostatnio zatrudnionych pracowników. - (2)
,"SELECT deptno, ename, hiredate FROM emp WHERE (hiredate, deptno) IN (SELECT MAX(hiredate), deptno FROM emp GROUP BY deptno);",+
,"SELECT deptno, ename, hiredate FROM emp e WHERE (hiredate,) = (SELECT MAX(hiredate) FROM emp WHERE deptno=e.deptno GROUP BY deptno);",+
,"SELECT deptno, ename, hiredate FROM emp WHERE hiredate = (SELECT MAX(hiredate) FROM emp GROUP BY deptno);",
,"SELECT deptno, ename, MAX(hiredate) FROM emp GROUP BY deptno;",
69,Wskazać poprawne zapytanie SQL znajdujące pracowników o najniższych zarobkach w ich działach. - (5)
,"SELECT ename, sal, deptno FROM emp WHERE (sal, deptno) IN (SELECT MIN(sal), deptno FROM empGROUP BY deptno);",+
,"SELECT ename, deptno, sal FROM emp e WHERE sal = (SELECT MIN(sal)FROM emp WHERE deptno = e. deptno);",+
,"SELECT ename, sal, deptno FROM emp WHERE sal IN (SELECT MIN(sal)FROM emp GROUP BY deptno)",
